material,size,shape,Zeta,Synthesis_method,reductant,Syn_time,Syn_temperature,pH,precursor_C,extractant,coating,cell_type,cell_line,Exposure_C,Exposure_time,Via_test,viability
Au,38.4,sphere,30,chemical,polysaccharide,1.67,125,,10,0,polysaccharide,primary,HFF,10,24,MTT,98.2
Au,38.4,sphere,30,chemical,polysaccharide,1.67,125,,10,0,polysaccharide,primary,HFF,20,24,MTT,100.6
Au,38.4,sphere,30,chemical,polysaccharide,1.67,125,,10,0,polysaccharide,primary,HFF,40,24,MTT,101.9
Au,38.4,sphere,30,chemical,polysaccharide,1.67,125,,10,0,polysaccharide,primary,HFF,60,24,MTT,99.01
Au,38.4,sphere,30,chemical,polysaccharide,1.67,125,,10,0,polysaccharide,primary,HFF,80,24,MTT,102.1
Au,38.4,sphere,30,chemical,polysaccharide,1.67,125,,10,0,polysaccharide,primary,HFF,100,24,MTT,95.9
Au,12,sphere,,chemical,flavonoids,,30,8,0.25,0,flavonoids,primary,HDF,25,24,MTT,95.72
Au,12,sphere,,chemical,flavonoids,,30,8,0.25,0,flavonoids,primary,HDF,50,24,MTT,90.62
Au,12,sphere,,chemical,flavonoids,,30,8,0.25,0,flavonoids,primary,HDF,75,24,MTT,81.71
Au,12,sphere,,chemical,flavonoids,,30,8,0.25,0,flavonoids,primary,HDF,100,24,MTT,52.87
Au,11.4,sphere,-15,biological,extract,3,25,,1,water,phytochemicals,primary,HFF,7.5,24,MTT,97.7
Au,11.4,sphere,-15,biological,extract,3,25,,1,water,phytochemicals,primary,HFF,15,24,MTT,93.7
Au,11.4,sphere,-15,biological,extract,3,25,,1,water,phytochemicals,primary,HFF,30,24,MTT,89.2
Au,11.4,sphere,-15,biological,extract,3,25,,1,water,phytochemicals,primary,HFF,60,24,MTT,78.2
Au,18.4,sphere,25.4,chemical,sodium citrate,65,100,,25,0,cationic surfactant,primary,HDF,100,4,MTT,42.8
Au,18.4,sphere,25.4,chemical,sodium citrate,65,100,,25,0,cationic surfactant,primary,HDF,100,24,MTT,14.7
Au,18.4,sphere,-14.2,chemical,sodium citrate,65,100,,25,0,PEG,primary,HDF,100,4,MTT,81.8
Au,18.4,sphere,-14.2,chemical,sodium citrate,65,100,,25,0,PEG,primary,HDF,100,24,MTT,100.2
